annee;code_reg;nom_reg;filiere_raw;prod_gwh;filiere;prod_mwh;categorie
2024;76;Occitanie;Production nucléaire (GWh);16656.0;Nucléaire;16656000.0;Non-Renouvelable
2014;84;Auvergne-Rhône-Alpes;Production nucléaire (GWh);87866.0;Nucléaire;87866000.0;Non-Renouvelable
2019;84;Auvergne-Rhône-Alpes;Production nucléaire (GWh);85830.0;Nucléaire;85830000.0;Non-Renouvelable
2018;93;Provence-Alpes-Côte d'Azur;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2023;93;Provence-Alpes-Côte d'Azur;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2024;93;Provence-Alpes-Côte d'Azur;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2019;94;Corse;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2023;94;Corse;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2019;11;Île-de-France;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2023;11;Île-de-France;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2014;24;Centre-Val de Loire;Production nucléaire (GWh);77871.0;Nucléaire;77871000.0;Non-Renouvelable
2023;27;Bourgogne-Franche-Comté;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2024;27;Bourgogne-Franche-Comté;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2016;28;Normandie;Production nucléaire (GWh);57283.0;Nucléaire;57283000.0;Non-Renouvelable
2021;32;Hauts-de-France;Production nucléaire (GWh);29825.0;Nucléaire;29825000.0;Non-Renouvelable
2016;44;Grand Est;Production nucléaire (GWh);82739.0;Nucléaire;82739000.0;Non-Renouvelable
2023;44;Grand Est;Production nucléaire (GWh);55303.0;Nucléaire;55303000.0;Non-Renouvelable
2016;52;Pays de la Loire;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2018;52;Pays de la Loire;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
2024;52;Pays de la Loire;Production nucléaire (GWh);0.0;Nucléaire;0.0;Non-Renouvelable
