annee;code_reg;nom_region;conso_totale;prod_mwh;taux_couverture;couleur_carte
2022;84;Auvergne-Rhône-Alpes;133570362.31849;103150000.0;77.23;Orange
2022;93;Provence-Alpes-Côte d'Azur;74180857.80988;18388000.0;24.79;Rouge
2022;94;Corse;2109317.302;1738000.0;82.4;Orange
2023;11;Île-de-France;116627660.1293;3562000.0;3.05;Rouge
2023;24;Centre-Val de Loire;27338326.379359998;62460000.0;228.47;Vert
2023;27;Bourgogne-Franche-Comté;32980044.74505;5417000.0;16.43;Rouge
2023;28;Normandie;61358136.661079995;60239000.0;98.18;Orange
2023;32;Hauts-de-France;94971565.73904;51540000.0;54.27;Orange
2023;44;Grand Est;95823412.04326999;85263000.0;88.98;Orange
2023;52;Pays de la Loire;40560607.90145;7632000.0;18.82;Rouge
2023;53;Bretagne;37179253.12703;6853000.0;18.43;Rouge
2023;75;Nouvelle-Aquitaine;57956688.2044;52884000.0;91.25;Orange
2023;76;Occitanie;47741784.3873;22935000.0;48.04;Rouge
2023;84;Auvergne-Rhône-Alpes;96081101.35870999;116681000.0;121.44;Vert
2023;93;Provence-Alpes-Côte d'Azur;65639671.71838;17501000.0;26.66;Rouge
2023;94;Corse;1985023.648;1652000.0;83.22;Orange
2024;11;Île-de-France;116665044.88081;3181000.0;2.73;Rouge
2024;24;Centre-Val de Loire;28034054.24129;75877000.0;270.66;Vert
2024;27;Bourgogne-Franche-Comté;32884763.33824;5320000.0;16.18;Rouge
2024;28;Normandie;61081180.05951;67320000.0;110.21;Vert
2024;32;Hauts-de-France;89013564.17210001;50383000.0;56.6;Orange
2024;44;Grand Est;89812153.8379;87955000.0;97.93;Orange
2024;52;Pays de la Loire;41042613.2717;7228000.0;17.61;Rouge
2024;53;Bretagne;35702325.75552;6774000.0;18.97;Rouge
2024;75;Nouvelle-Aquitaine;57699425.07352;55632000.0;96.42;Orange
2024;76;Occitanie;45873727.50039;39416000.0;85.92;Orange
2024;84;Auvergne-Rhône-Alpes;94758951.53024;119081000.0;125.67;Vert
2024;93;Provence-Alpes-Côte d'Azur;68263041.46168;19129000.0;28.02;Rouge
2024;94;Corse;1963324.3;1636000.0;83.33;Orange
